idbuildings,building_name,composition,additional_comp,architectural_element,AE_type,element_type,add_comp_quant,comp_quant,elem_total,year_add,materials_all,material_type,material_technique,moulding_type,location,region
39,"Neveh Shalom Synagogue",e39a,entrance_elem,pediment,triangular,"pediment: triangular",NULL,1,1,1704,NULL,NULL,NULL,NULL,"Spanish Town, Jamaica",Caribbean
39,"Neveh Shalom Synagogue",e39a,entrance_elem,stoop,,stoop,NULL,1,1,1704,NULL,NULL,NULL,NULL,"Spanish Town, Jamaica",Caribbean
39,"Neveh Shalom Synagogue",e39a,entrance_elem,"column shaft",smooth,"column shaft: smooth",NULL,4,4,1704,NULL,NULL,NULL,NULL,"Spanish Town, Jamaica",Caribbean
39,"Neveh Shalom Synagogue",e39a,entrance_elem,capital,tuscan,"capital: tuscan",NULL,4,4,1704,NULL,NULL,NULL,NULL,"Spanish Town, Jamaica",Caribbean
39,"Neveh Shalom Synagogue",e39a,entrance_elem,entablature,,entablature,NULL,1,1,1704,NULL,NULL,NULL,NULL,"Spanish Town, Jamaica",Caribbean
4,"Esnoga, Talmud Torah II",e4a,entrance_elem,cornice,"element cap cornice","cornice: element cap cornice",NULL,1,1,1675,sandstone,masonry,moulded,"five indent","Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4b,entrance_elem,door,"double panelled","door: double panelled",NULL,1,1,1675,wood,wood,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4b,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1675,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4b,entrance_elem,"window frame","rectangular ","window frame: rectangular ",NULL,1,1,1675,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4c,entrance_elem,door,false,"door: false",NULL,1,1,1675,wood,wood,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4c,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1675,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4c,entrance_elem,"window frame","rectangular ","window frame: rectangular ",NULL,1,1,1675,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4d,entrance_elem,door,"double panelled","door: double panelled",NULL,1,1,1773,wood,wood,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
4,"Esnoga, Talmud Torah II",e4d,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1773,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
36,"Tzedek ve-Shalom Synagogue",e36a,entrance_elem,cornice,"element cap cornice","cornice: element cap cornice",NULL,1,1,1854,wood,wood,moulded,"four indent","Paramaribo, Suriname","South America"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,stoop,"rounded, 3 steps","stoop: rounded, 3 steps",NULL,1,1,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,door,"double panelled","door: double panelled",NULL,1,1,1752,wood,wood,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1752,NULL,NULL,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,architrave,simple,"architrave: simple",NULL,1,1,1752,stone,masonry,rustication,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,capital,ionic,"capital: ionic",NULL,2,2,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,base,attic,"base: attic",NULL,2,2,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,"column shaft",smooth,"column shaft: smooth",NULL,2,2,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,entablature,,entablature,NULL,1,1,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,frieze,,frieze,NULL,1,1,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,cornice,"classical cornice","cornice: classical cornice",NULL,1,1,1752,stone,masonry,moulded,dentils,"Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,pediment,scrolled,"pediment: scrolled",NULL,1,1,1752,stone,masonry,moulded,"four indent","Amsterdam, Netherlands","Western Europe"
11,"Nieuwe Ashkenazic Synagogue",e11a,entrance_elem,plinth,"plinth block","plinth: plinth block",NULL,1,1,1752,stone,masonry,NULL,NULL,"Amsterdam, Netherlands","Western Europe"
14,"Beth Elohim Synagogue",e14a,entrance_elem,"window frame",fan,"window frame: fan",NULL,1,1,1794,NULL,NULL,NULL,NULL,"Charleston, United States","North America"
14,"Beth Elohim Synagogue",e14a,entrance_elem,architrave,simple,"architrave: simple",NULL,1,1,1794,NULL,NULL,NULL,NULL,"Charleston, United States","North America"
14,"Beth Elohim Synagogue",e14a,entrance_elem,"door frame",flat-headed,"door frame: flat-headed",NULL,1,1,1794,NULL,NULL,NULL,NULL,"Charleston, United States","North America"
14,"Beth Elohim Synagogue",e14a,entrance_elem,door,"double panelled","door: double panelled",NULL,1,1,1794,NULL,NULL,NULL,NULL,"Charleston, United States","North America"
