idbuildings,building_name,year_opened,composition,additional_comp,filter_on,architectural_element,AE_type,element_type,comp_quant,year_added,idlocation,location,lat,longitude,idcitation,cit_short,pg
4,"Esnoga, Talmud Torah II",1675,f4n,w4a,window,"window sill",,"window sill",6,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4a,window,"window sill",,"window sill",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4a,window,"window sill",,"window sill",6,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4a,window,"window sill",,"window sill",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4a,window,"window sill",,"window sill",2,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4a,window,"window sill",,"window sill",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e1773,w4a,window,"window sill",,"window sill",3,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,84,"Krabbe and de Room, 2013",94
4,"Esnoga, Talmud Torah II",1675,f4w,w4b,window,"window frame",round-headed,"window frame: round-headed",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4b,window,"window frame",round-headed,"window frame: round-headed",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4b,window,"window frame",round-headed,"window frame: round-headed",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4b,window,"window frame",round-headed,"window frame: round-headed",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e1773,w4b,window,"window frame",round-headed,"window frame: round-headed",2,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,84,"Krabbe and de Room, 2013",94
4,"Esnoga, Talmud Torah II",1675,f4w,w4b,window,architrave,simple,"architrave: simple",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4b,window,architrave,simple,"architrave: simple",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4b,window,architrave,simple,"architrave: simple",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4b,window,architrave,simple,"architrave: simple",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e1773,w4b,window,architrave,simple,"architrave: simple",2,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,84,"Krabbe and de Room, 2013",94
4,"Esnoga, Talmud Torah II",1675,f4w,w4b,window,"window sill",,"window sill",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4n,w4b,window,"window sill",,"window sill",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4s,w4b,window,"window sill",,"window sill",7,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e,w4b,window,"window sill",,"window sill",5,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,NULL,NULL,NULL
4,"Esnoga, Talmud Torah II",1675,f4e1773,w4b,window,"window sill",,"window sill",2,1675,1,"Amsterdam, Netherlands",52.367530,4.905336,84,"Krabbe and de Room, 2013",94
33,"Mill Street Synagogue, Shearith Israel I",1730,f33n,w33a,window,"window frame",round-headed,"window frame: round-headed",2,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
33,"Mill Street Synagogue, Shearith Israel I",1730,f33e,w33a,window,"window frame",round-headed,"window frame: round-headed",2,1730,24,"New York, United States",40.705016,-74.010199,24,"de Sola Pool, 1950",187
33,"Mill Street Synagogue, Shearith Israel I",1730,f33w,w33a,window,"window frame",round-headed,"window frame: round-headed",3,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
33,"Mill Street Synagogue, Shearith Israel I",1730,f33s,w33a,window,"window frame",round-headed,"window frame: round-headed",3,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
33,"Mill Street Synagogue, Shearith Israel I",1730,f33n,w33a,window,architrave,,architrave,2,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
33,"Mill Street Synagogue, Shearith Israel I",1730,f33e,w33a,window,architrave,,architrave,2,1730,24,"New York, United States",40.705016,-74.010199,24,"de Sola Pool, 1950",187
33,"Mill Street Synagogue, Shearith Israel I",1730,f33w,w33a,window,architrave,,architrave,3,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
33,"Mill Street Synagogue, Shearith Israel I",1730,f33s,w33a,window,architrave,,architrave,3,1730,24,"New York, United States",40.705016,-74.010199,8,"Stiefel, 2014",240
34,"Touro Synagogue",1763,f34ei,w34a,window,"window frame",round-headed,"window frame: round-headed",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 6"
34,"Touro Synagogue",1763,f34ni,w34a,window,"window frame",round-headed,"window frame: round-headed",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 7"
34,"Touro Synagogue",1763,f34wi,w34a,window,"window frame",round-headed,"window frame: round-headed",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34s,w34a,window,"window frame",round-headed,"window frame: round-headed",4,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 5"
34,"Touro Synagogue",1763,f34wi,w34a,window,"window frame",round-headed,"window frame: round-headed",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34ei,w34a,window,architrave,simple,"architrave: simple",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 6"
34,"Touro Synagogue",1763,f34ni,w34a,window,architrave,simple,"architrave: simple",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 7"
34,"Touro Synagogue",1763,f34wi,w34a,window,architrave,simple,"architrave: simple",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34s,w34a,window,architrave,simple,"architrave: simple",4,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 5"
34,"Touro Synagogue",1763,f34wi,w34a,window,architrave,simple,"architrave: simple",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34ei,w34a,window,"window sill",,"window sill",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 6"
34,"Touro Synagogue",1763,f34ni,w34a,window,"window sill",,"window sill",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 7"
34,"Touro Synagogue",1763,f34wi,w34a,window,"window sill",,"window sill",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34s,w34a,window,"window sill",,"window sill",4,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 5"
34,"Touro Synagogue",1763,f34wi,w34a,window,"window sill",,"window sill",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34wii,w34b,window,"window frame","rectangular ","window frame: rectangular ",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34eii,w34b,window,"window frame","rectangular ","window frame: rectangular ",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 6"
34,"Touro Synagogue",1763,f34wii,w34b,window,"window frame","rectangular ","window frame: rectangular ",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34wii,w34b,window,"window sill",,"window sill",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34eii,w34b,window,"window sill",,"window sill",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 6"
34,"Touro Synagogue",1763,f34wii,w34b,window,"window sill",,"window sill",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34wii,w34b,window,architrave,simple,"architrave: simple",2,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
34,"Touro Synagogue",1763,f34eii,w34b,window,architrave,simple,"architrave: simple",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 6"
34,"Touro Synagogue",1763,f34wii,w34b,window,architrave,simple,"architrave: simple",3,1763,25,"Newport, United States",41.489444,-71.311944,53,"HABS, 1993","Sheet 4"
43,"Mikve Israel Synagogue (IV)",1732,f43w,w43a,window,"window frame","rectangular ","window frame: rectangular ",4,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43n,w43a,window,"window frame","rectangular ","window frame: rectangular ",9,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43s,w43a,window,"window frame","rectangular ","window frame: rectangular ",8,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43e,w43a,window,"window frame","rectangular ","window frame: rectangular ",6,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,w43b,window,"window frame","rectangular ","window frame: rectangular ",6,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43n,w43b,window,"window frame","rectangular ","window frame: rectangular ",9,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43s,w43b,window,"window frame","rectangular ","window frame: rectangular ",8,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43e,w43b,window,"window frame","rectangular ","window frame: rectangular ",4,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,w43b,window,"window frame",fan,"window frame: fan",6,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43n,w43b,window,"window frame",fan,"window frame: fan",9,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43s,w43b,window,"window frame",fan,"window frame: fan",8,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43e,w43b,window,"window frame",fan,"window frame: fan",4,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,w43c,window,"window frame","rectangular ","window frame: rectangular ",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,w43c,window,"blind arch",round,"blind arch: round",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,r43a,roofline,"window frame","rectangular ","window frame: rectangular ",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43e,r43a,roofline,"window frame","rectangular ","window frame: rectangular ",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,r43a,roofline,"window frame",fan,"window frame: fan",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43e,r43a,roofline,"window frame",fan,"window frame: fan",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
133,"Great Synagogue (Duke's Place, enlargement)",1766,f133e,w133a,window,"window frame",round-headed,"window frame: round-headed",8,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",66
133,"Great Synagogue (Duke's Place, enlargement)",1766,f133n,w133a,window,"window frame",round-headed,"window frame: round-headed",2,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",66
133,"Great Synagogue (Duke's Place, enlargement)",1766,f133s,w133a,window,"window frame",round-headed,"window frame: round-headed",2,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",66
133,"Great Synagogue (Duke's Place, enlargement)",1766,f133w,w133a,window,"window frame",round-headed,"window frame: round-headed",1,1766,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",67
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31d,window,architrave,simple,"architrave: simple",2,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31d,window,"window frame","rectangular ","window frame: rectangular ",2,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31a,window,"window frame","rectangular ","window frame: rectangular ",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,w31a,window,"window frame","rectangular ","window frame: rectangular ",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31a,window,"window sill",,"window sill",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,w31a,window,"window sill",,"window sill",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31a,window,"blind arch",round,"blind arch: round",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,w31a,window,"blind arch",round,"blind arch: round",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31b,window,"window frame",round-headed,"window frame: round-headed",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,w31b,window,"window frame",round-headed,"window frame: round-headed",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31b,window,architrave,simple,"architrave: simple",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,w31b,window,architrave,simple,"architrave: simple",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31d,window,"window sill",,"window sill",2,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,r31a,roofline,"window frame",segmental,"window frame: segmental",5,1790,8,"London, England",51.514313,-0.077881,NULL,NULL,NULL
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,r31a,roofline,"window frame",segmental,"window frame: segmental",5,1790,8,"London, England",51.514313,-0.077881,NULL,NULL,NULL
31,"Great Synagogue (third, near Duke's Place)",1790,f31s,r31b,roofline,"window frame",semicicular,"window frame: semicicular",1,1790,8,"London, England",51.514313,-0.077881,NULL,NULL,NULL
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,r31a,roofline,window,"clerestory window","window: clerestory window",5,1790,8,"London, England",51.514313,-0.077881,NULL,NULL,NULL
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,r31a,roofline,window,"clerestory window","window: clerestory window",5,1790,8,"London, England",51.514313,-0.077881,NULL,NULL,NULL
31,"Great Synagogue (third, near Duke's Place)",1790,f31s,r31b,roofline,window,"clerestory window","window: clerestory window",1,1790,8,"London, England",51.514313,-0.077881,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43w,r43a,roofline,window,"gable window","window: gable window",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
43,"Mikve Israel Synagogue (IV)",1732,f43e,r43a,roofline,window,"gable window","window: gable window",3,1732,6,"Willemstad, Curacao",12.105110,-68.932573,NULL,NULL,NULL
31,"Great Synagogue (third, near Duke's Place)",1790,f31e,w31b,window,window,"recessed window","window: recessed window",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
31,"Great Synagogue (third, near Duke's Place)",1790,f31w,w31b,window,window,"recessed window","window: recessed window",5,1790,8,"London, England",51.514313,-0.077881,76,"Epstein, 1996",75
2,"Creechurch Lane Synagogue [1675]",1675,f2s,w2a,window,"window frame","rectangular ","window frame: rectangular ",1,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
2,"Creechurch Lane Synagogue [1675]",1675,f2s,w2b,window,"window frame","rectangular ","window frame: rectangular ",1,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
2,"Creechurch Lane Synagogue [1675]",1675,f2s,w2c,window,"window frame","rectangular ","window frame: rectangular ",2,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
2,"Creechurch Lane Synagogue [1675]",1675,f2s,w2d,window,"window frame","rectangular ","window frame: rectangular ",1,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
2,"Creechurch Lane Synagogue [1675]",1675,f2s,w2e,window,"window frame","rectangular ","window frame: rectangular ",4,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
2,"Creechurch Lane Synagogue [1675]",1675,f2s,w2e,window,window,dormer,"window: dormer",4,1675,8,"London, England",51.513685,-0.079298,1,"Samuel, 1924",NULL
137,"Neveh Shalom",1612,f137w,w137b,window,"window frame","rectangular ","window frame: rectangular ",4,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137e,w137b,window,"window frame","rectangular ","window frame: rectangular ",4,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137w,w137b,window,window,"wall window","window: wall window",4,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137e,w137b,window,window,"wall window","window: wall window",4,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137w,r137a,roofline,"window frame","rectangular ","window frame: rectangular ",6,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137e,r137a,roofline,"window frame","rectangular ","window frame: rectangular ",6,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137w,r137a,roofline,window,"gable window","window: gable window",6,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137e,r137a,roofline,window,"gable window","window: gable window",6,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137w,r137a,roofline,shutter,,"shutter: ",6,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137e,r137a,roofline,shutter,,"shutter: ",6,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137w,w137b,window,shutter,,shutter,4,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
137,"Neveh Shalom",1612,f137e,w137b,window,shutter,,shutter,4,1612,1,"Amsterdam, Netherlands",52.368346,4.902987,86,"Zantkuyl, 1970",NULL
6,"Talmud Torah, Portuguese Synagogue I",1639,f6w,w6a,window,"window frame","rectangular ","window frame: rectangular ",6,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,NULL,NULL,NULL
6,"Talmud Torah, Portuguese Synagogue I",1639,f6w,w6a,window,window,"wall window","window: wall window",6,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,NULL,NULL,NULL
6,"Talmud Torah, Portuguese Synagogue I",1639,f6w,w6a,window,shutter,,shutter,6,1639,1,"Amsterdam, Netherlands",52.368577,4.902246,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7a,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7a,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7a,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7a,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7a,window,"window frame",round-headed,"window frame: round-headed",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7a,window,"window frame",round-headed,"window frame: round-headed",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7a,window,"window frame",round-headed,"window frame: round-headed",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7a,window,"window frame",round-headed,"window frame: round-headed",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7a,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7a,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7a,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7a,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7b,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7b,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7b,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,window,"wall window","window: wall window",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,window,"wall window","window: wall window",4,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7b,window,"window frame","rectangular ","window frame: rectangular ",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7b,window,"window frame","rectangular ","window frame: rectangular ",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7b,window,"window frame","rectangular ","window frame: rectangular ",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,"window frame","rectangular ","window frame: rectangular ",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,"window frame","rectangular ","window frame: rectangular ",4,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7b,window,"window sill",,"window sill",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7b,window,"window sill",,"window sill",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7b,window,"window sill",,"window sill",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,"window sill",,"window sill",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,"window sill",,"window sill",4,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7n,w7b,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7s,w7b,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7e,w7b,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,architrave,simple,"architrave: simple",5,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
7,"Grote Sjoel (Great Synagogue)",1671,f7w,w7b,window,architrave,simple,"architrave: simple",4,1671,1,"Amsterdam, Netherlands",52.367274,4.903893,NULL,NULL,NULL
9,"Obbene Shul Synagogue",1686,f9w,w9a,window,"window frame",round-headed,"window frame: round-headed",3,1686,1,"Amsterdam, Netherlands",52.367139,4.903745,NULL,NULL,NULL
