donor,donor_type,donor_id_loc,donor_loc_name,donor_lat,donor_lon,recipient_id,recipient_name,recipient_type,recipient_congregation,recipient_id_loc,recipient_loc_name,recipient_lat,recipient_lon,contr_type,RE_type,contr_year,contr_amt,curr_type,contr_honors,citation,pg
"Judah Hays",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.15,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",22
"Moses Michaels",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.15,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",22
"Daniel Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,2.02,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"David Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,2.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"David Hays",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.06,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"David Mendes Machado",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Moses Mendez Alvarez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.06,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Joseph Nunez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.15,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Benjamin Mendes Pacheco",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Isaac de Medina",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Nathan Levy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Jacob Franks",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,3,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Isaac Levy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.14,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Abraham Isaacs",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.14,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Jacob Hart",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Abraham  Mears",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Zachariah Polock",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Shearith Israel",congregation,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.05.05,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Lewis Moses Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.02,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Isaac Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Jacob Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Mikve Israel",congregation,6,"Willemstad, Curacao",12.1047416,-68.9326698,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.05.05,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Shearith Israel",congregation,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Moses Michaels",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,4.04,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Simon Barzelay",individual,39,"Boston, Massachusetts",42.361145,-71.057083,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Widow Rachell Luiza",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,2.16,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Rebecca Sylvia",individual,44,Barbados,13.17,-59.5525,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,2,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Isaac Campos Pereira",individual,44,Barbados,13.17,-59.5525,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Isaac Campos",individual,44,Barbados,13.17,-59.5525,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.05,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Zachariah Polock",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",23
"Michael Asher",individual,39,"Boston, Massachusetts",42.361145,-71.057083,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Isaac Solomns",individual,39,"Boston, Massachusetts",42.361145,-71.057083,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Mikve Israel",congregation,6,"Willemstad, Curacao",12.1047416,-68.9326698,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,17.07.10,"pounds sterling","Blessings invoked on Mikveh Israel Curacao each Day of Atonement and 7th day of Passover","""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Shearith Israel",congregation,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.04,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Lewis Moses Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Baruch Judah of Breslau",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,1.04,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Abraham Franks",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,8.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Isaac Franks",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,8.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Aaron Franks",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,8.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Asher Levy",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,8.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Isaac Polock",individual,8,"London, England",51.5073509,-0.12775829999998223,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,3.8,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Jacob Franks",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Moses Michaels",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"David Lopez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"David Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Benjamin Mendes Pacheco",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Daniel Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.1,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Mordecai Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.06,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Samuel Myers",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.08,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",24
"Zachariah Polock",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.05,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",25
"Moses Lopez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.04,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",25
"Baruch Judah of Breslau",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.03,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",25
"Isaac Levy",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.05,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",25
"Solomon Isaacs",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.05,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",25
"Benjamin Gomez",individual,24,"New York, New York",40.7127753,-74.0059728,33,"Mill Street Synagogue, Shearith Israel I",building,"Shearith Israel",24,"New York, New York",40.7127753,-74.0059728,nedabot,monetary,1730,0.03,"pounds sterling",,"""THE EARLIEST EXTANT MINUTE BOOKS OF THE SPANISH AND PORTUGUESE CONGREGATION SHEARITH ISRAEL IN NEW YORK, 1728-1786."" 1913. Publications of the American Jewish Historical Society 21. The Johns Hopkins University Press: 1-82. doi:10.2307/43057905.",25
